STOD	NAFN	TEG	BREIDD	LENGD	BREIDD_Y	LENGD_X	H_STOD	EIG	UPPHAF	ENDIR
1350	Keflavíkurflugvöllur	sj	63°58.974'	22°36.031'	63.9829	22.600517	50.9	Veðurstofa Íslands	2008	(null)
1361	Grindavík	sj	63°50.627'	22°25.023'	63.84378	22.41705	9.3	Veðurstofa Íslands	2008	(null)
1362	Grindavík	sj	63°50.358'	22°25.653'	63.8393	22.4275	4.0	Grindavíkurhöfn	1995	2008
1368	Afstapahraun	sj	63°59.449'	22°10.284'	63.99082	22.1714	47.0	Veðurstofa Íslands	2000	2008
1370	Hvassahraun	sj	64°01.181'	22°05.513'	64.01968	22.09188	41.0	Veðurstofa Íslands	2001	(null)
1391	Þorlákshöfn	sj	63°51.643'	21°22.420'	63.8607	21.3737	5.0	Þorlákshöfn	1995	2008
1395	Eyrarbakki	sj	63°52.152'	21°09.611'	63.8692	21.16018	3.0	Veðurstofa Íslands	2005	(null)
1453	Garðskagaviti	sj	64°04.903'	22°41.359'	64.08172	22.68932	4.0	Vegagerðin	1995	(null)
1469	Reykjavík Hljómskálagarður	sj	64°08.463'	21°56.618'	64.14105	21.94363	4.5	Veðurstofa Íslands	2022	(null)
1470	Reykjavík Háahlíð	sj	64°07.730'	21°54.493'	64.12884	21.90822	60.2	Veðurstofa Íslands	2021	(null)
1471	Seltjarnarnes - Suðurnes	sj	64°09.270'	22°01.951'	64.15451	22.03251	4.5	Veðurstofa Íslands	2019	(null)
1472	Kópavogur - Fossvogsdalur	sj	64°06.981'	21°51.700'	64.11635	21.86167	19.0	Veðurstofa Íslands	2021	(null)
1473	Straumsvík	sj	64°02.628'	22°02.427'	64.0438	22.04045	7.0	Veðurstofa Íslands	2001	(null)
1474	Garðabær - Urriðaholt	sj	64°04.270'	21°54.640'	64.07117	21.910667	37.0	Veðurstofa Íslands	2019	(null)
1475	Reykjavík	sj	64°07.653'	21°54.120'	64.12755	21.902	52.0	Veðurstofa Íslands	1993	(null)
1477	Reykjavíkurflugvöllur	sj	64°07.707'	21°56.442'	64.12845	21.9407	12.0	Veðurstofa Íslands	2000	(null)
1478	Reykjavík Geirsnef	sj	64°07.755'	21°50.351'	64.12925	21.83918	4.0	Veðurstofa Íslands	2019	(null)
1479	Korpa	sj	64°09.032'	21°45.064'	64.15053	21.75105	35.0	Veðurstofa Íslands	1994	(null)
1480	Geldinganes	sj	64°10.067'	21°48.228'	64.16778	21.8038	35.0	Veðurstofa Íslands	2004	(null)
1481	Hólmsheiði	sj	64°06.510'	21°41.182'	64.1085	21.68637	130.0	Veðurstofa Íslands	2006	(null)
1482	Reykjavík Víðidalur	sj	64°06.208	21°47.825	64.10346	21.79708	71.0	Veðurstofa Íslands	2018	(null)
